FileName,BinGroupName,IsLeaf,BinName,Number,Description,ParentBin,InvalidBins
BinDefinitions.bdefs,PASS_FAIL_BINS,FALSE,PASS,1,,,
BinDefinitions.bdefs,PASS_FAIL_BINS,FALSE,FAIL,0,,,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,BOOT_STAGE_70,70,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,EFI_71,71,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,EFI_72,72,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,EFI_73,73,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,EFI_74,74,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,WIN_75,75,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,WIN_76,76,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,WIN_77,77,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,WIN_78,78,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,BOOT_STAGE_79,79,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,BOOT_STAGE_80,80,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,LINUX_81,81,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,LINUX_82,82,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,LINUX_83,83,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,LINUX_84,84,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,BOOT_STAGE_85,85,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,SVOS_86,86,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,SVOS_87,87,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,SVOS_88,88,,FAIL,
BinDefinitions.bdefs,BOOT_STAGE_BINS,FALSE,SVOS_89,89,,FAIL,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_70_BOOT_FAILURE_FAILED,70000000,,BOOT_STAGE_70,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_70_BOOT_FAILURE_TIMEOUT,70000001,,BOOT_STAGE_70,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_70_BOOT_FAILURE_HANG,70000002,,BOOT_STAGE_70,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_70_BOOT_FAILURE_UNDEFINED,70000009,,BOOT_STAGE_70,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_71_BOOT_FAILURE_FAILED,71000000,,EFI_71,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_71_BOOT_FAILURE_TIMEOUT,71000001,,EFI_71,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_71_BOOT_FAILURE_HANG,71000002,,EFI_71,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_71_BOOT_FAILURE_UNDEFINED,71000009,,EFI_71,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_72_BOOT_FAILURE_FAILED,72000000,,EFI_72,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_72_BOOT_FAILURE_TIMEOUT,72000001,,EFI_72,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_72_BOOT_FAILURE_HANG,72000002,,EFI_72,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_72_BOOT_FAILURE_UNDEFINED,72000009,,EFI_72,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_73_BOOT_FAILURE_FAILED,73000000,,EFI_73,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_73_BOOT_FAILURE_TIMEOUT,73000001,,EFI_73,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_73_BOOT_FAILURE_HANG,73000002,,EFI_73,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_73_BOOT_FAILURE_UNDEFINED,73000009,,EFI_73,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_74_BOOT_FAILURE_FAILED,74000000,,EFI_74,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_74_BOOT_FAILURE_TIMEOUT,74000001,,EFI_74,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_74_BOOT_FAILURE_HANG,74000002,,EFI_74,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,EFI_74_BOOT_FAILURE_UNDEFINED,74000009,,EFI_74,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_75_BOOT_FAILURE_FAILED,75000000,,WIN_75,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_75_BOOT_FAILURE_TIMEOUT,75000001,,WIN_75,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_75_BOOT_FAILURE_HANG,75000002,,WIN_75,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_75_BOOT_FAILURE_UNDEFINED,75000009,,WIN_75,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_76_BOOT_FAILURE_FAILED,76000000,,WIN_76,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_76_BOOT_FAILURE_TIMEOUT,76000001,,WIN_76,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_76_BOOT_FAILURE_HANG,76000002,,WIN_76,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_76_BOOT_FAILURE_UNDEFINED,76000009,,WIN_76,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_77_BOOT_FAILURE_FAILED,77000000,,WIN_77,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_77_BOOT_FAILURE_TIMEOUT,77000001,,WIN_77,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_77_BOOT_FAILURE_HANG,77000002,,WIN_77,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_77_BOOT_FAILURE_UNDEFINED,77000009,,WIN_77,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_78_BOOT_FAILURE_FAILED,78000000,,WIN_78,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_78_BOOT_FAILURE_TIMEOUT,78000001,,WIN_78,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_78_BOOT_FAILURE_HANG,78000002,,WIN_78,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,WIN_78_BOOT_FAILURE_UNDEFINED,78000009,,WIN_78,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_79_BOOT_FAILURE_FAILED,79000000,,BOOT_STAGE_79,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_79_BOOT_FAILURE_TIMEOUT,79000001,,BOOT_STAGE_79,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_79_BOOT_FAILURE_HANG,79000002,,BOOT_STAGE_79,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_79_BOOT_FAILURE_UNDEFINED,79000009,,BOOT_STAGE_79,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_80_BOOT_FAILURE_FAILED,80000000,,BOOT_STAGE_80,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_80_BOOT_FAILURE_TIMEOUT,80000001,,BOOT_STAGE_80,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_80_BOOT_FAILURE_HANG,80000002,,BOOT_STAGE_80,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,BOOT_STAGE_80_BOOT_FAILURE_UNDEFINED,80000009,,BOOT_STAGE_80,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_81_BOOT_FAILURE_FAILED,81000000,,LINUX_81,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_81_BOOT_FAILURE_TIMEOUT,81000001,,LINUX_81,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_81_BOOT_FAILURE_HANG,81000002,,LINUX_81,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_81_BOOT_FAILURE_UNDEFINED,81000009,,LINUX_81,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_82_BOOT_FAILURE_FAILED,82000000,,LINUX_82,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_82_BOOT_FAILURE_TIMEOUT,82000001,,LINUX_82,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_82_BOOT_FAILURE_HANG,82000002,,LINUX_82,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_82_BOOT_FAILURE_UNDEFINED,82000009,,LINUX_82,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_83_BOOT_FAILURE_FAILED,83000000,,LINUX_83,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_83_BOOT_FAILURE_TIMEOUT,83000001,,LINUX_83,
BinDefinitions.bdefs,BOOT_FAILURE_BINS,TRUE,LINUX_83_BOOT_FAILURE_HANG,83000002,,LINUX_83,
